lei,institution_name,nmls_id,our_lender_slug,match_status,total_applications,total_originations,me_originations,states_with_originations,priority_match,maine_originations
549300XTSMAC5DOX6447,,,,unmatched,494,382,3,MA:357;RI:9;NH:7;CT:5;ME:3;VT:1,medium,3
549300RS5LTZ0JDZYI59,,,,unmatched,373,311,3,MA:300;NH:4;RI:4;ME:3,medium,3
549300YIBRM1ZYA6GT07,,,,unmatched,3216,2076,3,RI:1833;MA:150;CT:57;FL:18;NH:9;ME:3;SC:2;NY:1;NC:1;NJ:1,medium,3
254900PRB9DTJAHMMZ45,,,,unmatched,171,134,3,MA:113;NH:11;CT:4;ME:3;NC:1;FL:1;RI:1,medium,3
549300V8UCJTLZZT4M32,,,,unmatched,156,92,3,MA:86;ME:3;NH:2;CT:1,medium,3
549300YKOCNDPE0N7X40,,,,unmatched,1540,976,3,NH:967;MA:6;ME:3,medium,3
549300BPDFS1CLV7K329,,,,unmatched,1256,932,2,FL:916;GA:7;NC:4;ME:2;MD:1;SC:1;OH:1,high,2
549300IYKILIU506KA05,,,,unmatched,1150,811,2,MA:571;CT:229;RI:6;ME:2;NH:1;NJ:1;PA:1,high,2
549300CHBB3GN7JFXU86,,,,unmatched,655,474,2,MA:394;FL:35;VT:33;NH:4;RI:3;ME:2;CT:1;AL:1;TX:1,medium,2
549300UK3Z5PC7V71K69,,,,unmatched,2281,1572,2,RI:1317;MA:238;CT:6;FL:4;SC:2;ME:2;NH:2;NC:1,medium,2
549300C2GTHMQQJ5CS20,,,,unmatched,240,200,2,MA:191;NH:5;ME:2;FL:1;VT:1,medium,2
5493007H0KZ81N1H6352,,,,unmatched,275,216,2,MA:185;CT:17;VT:4;SC:2;FL:2;NH:2;ME:2;NY:1;PA:1,medium,2
549300P1347BFCBHJV60,,,,unmatched,318,209,2,MA:138;NH:16;CA:13;TX:5;GA:4;OR:4;FL:3;NJ:3;WI:2;ME:2,medium,2
549300SZBQMYMAL3OM08,,,,unmatched,245,187,2,MA:169;NH:7;RI:6;CT:2;ME:2;FL:1,medium,2
549300217ZPIHWEYT887,,,,unmatched,197,184,2,MA:100;CT:36;NY:8;FL:7;NC:7;NJ:5;IL:4;ME:2;MD:2;OH:2,medium,2
2549003Z8R5QM0WPS603,,,,unmatched,118,115,2,VA:37;DC:37;MD:36;FL:2;ME:2;DE:1,low,2
254900PJVECT3YD6KY88,,,,unmatched,19,18,2,NH:9;MA:3;NC:3;ME:2;NY:1,low,2
X8V2II80XTQHRH7NCB19,,,,unmatched,6794,3969,1,MA:3620;NH:294;RI:47;CT:7;ME:1,high,1
