lei,institution_name,nmls_id,our_lender_slug,match_status,total_applications,total_originations,fl_originations,states_with_originations,priority_match
254900M2C4Q6DATP2889,,,,unmatched,7271,2397,448,CA:510;FL:448;NC:357;GA:286;PA:224;TN:199;NJ:191;SC:154,high
254900TG14TB8RKS3U42,,,,unmatched,3534,1719,435,FL:435;PA:345;TX:260;CA:165;NC:159;GA:127;TN:83;NJ:75,high
254900RUCO27MVGTO768,,,,unmatched,12102,5350,432,NY:1687;NJ:1215;PA:540;FL:432;GA:317;TX:281;NC:251;CA:195,high
549300VMX06UV1F7NS76,,,,unmatched,2637,1944,429,FL:429;PA:390;GA:343;TX:255;TN:237;NC:159;NJ:92;CA:20,high
549300VYK2WBD7SST478,,,,unmatched,3085,1606,429,GA:707;FL:429;NC:284;TX:160;TN:15;SC:8;PA:1;NJ:1,high
5493003V40VGM7YDFM54,,,,unmatched,5399,3158,427,CA:772;NJ:570;FL:427;PA:374;TX:278;GA:253;TN:189;MA:130,high
549300XSS1CPK8G7B851,,,,unmatched,1035,833,426,FL:426;TN:153;SC:115;GA:75;NC:54;TX:5;CA:2;NY:2,high
549300PQLK8E48ILXV41,,,,unmatched,3679,1965,421,CA:533;FL:421;TX:213;GA:156;NC:154;NJ:135;PA:115;TN:96,high
549300PL267CW8182203,,,,unmatched,6373,2311,416,TX:477;FL:416;GA:412;CA:409;NC:157;TN:157;SC:100;PA:96,high
5493001XKL0FTNOJ0866,,,,unmatched,2355,1526,414,FL:414;TX:386;GA:260;CA:114;NJ:97;SC:85;MA:64;TN:45,high
549300WYBPIWKK6SQC06,,,,unmatched,980,685,407,FL:407;TN:190;TX:28;CA:22;GA:14;NC:13;SC:8;PA:3,high
549300BX448ALT10FI43,,,,unmatched,8964,3641,397,NY:620;NJ:552;NC:413;FL:397;PA:379;GA:356;CA:265;TN:199,high
549300MHH03ICJYEPE85,,,,unmatched,4763,2979,396,CA:1040;FL:396;TX:315;NY:235;MA:191;TN:179;NC:147;NJ:138,high
549300Q50XCC0473FG63,,,,unmatched,6257,3051,389,CA:1243;NY:460;FL:389;NJ:308;NC:137;TN:136;GA:121;MA:98,high
549300A5HHOL2ED18C72,,,,unmatched,4764,2297,389,CA:1372;FL:389;TX:211;NC:58;GA:52;PA:51;NJ:44;SC:43,high
2549002VH9C0PKB8K153,,,,unmatched,4700,2606,388,CA:933;NY:575;FL:388;NJ:317;TX:139;PA:69;MA:49;GA:47,high
213800XR2TCBQJSF1X93,,,,unmatched,5098,2820,383,TX:518;FL:383;NC:354;CA:313;GA:257;PA:203;NJ:179;SC:177,high
549300PBTV7FCWLSMM53,,,,unmatched,5069,3284,380,TX:1363;GA:446;NC:404;FL:380;CA:260;SC:190;TN:148;PA:64,high
54930048P8RWCQHQM310,,,,unmatched,3885,2188,380,CA:504;NY:503;FL:380;TX:240;NJ:231;MA:110;PA:83;NC:39,high
5493003BXKRGHQHRJV38,,,,unmatched,1089,620,375,FL:375;GA:200;NC:14;MA:11;TX:5;TN:4;NY:3;CA:2,high
5493001X0T84TYRJ5Y59,,,,unmatched,2795,1743,372,CA:1029;FL:372;TX:130;GA:83;NC:36;TN:27;PA:23;SC:18,high
254900HEJ9F73IMPX887,,,,unmatched,5221,1978,364,TX:453;FL:364;CA:232;NC:211;GA:210;NJ:181;PA:135;TN:95,high
549300KTR1JGH3K6LU06,,,,unmatched,14586,6031,358,NY:4085;CA:552;FL:358;NJ:336;GA:195;NC:136;PA:113;SC:89,high
254900CTT87ZKAUTIJ37,,,,unmatched,3750,2258,354,PA:577;TX:373;FL:354;CA:261;GA:217;NC:185;TN:154;SC:72,high
5493004N9PMBSLEZOF16,,,,unmatched,3388,2406,343,TX:820;CA:686;FL:343;NJ:331;SC:150;GA:73;PA:3,high
WWB2V0FCW3A0EE3ZJN75,,,,unmatched,24867,14477,342,NY:7073;PA:3099;MA:1690;NJ:1501;FL:342;DC:172;CA:139;TX:134,high
254900TTZ395IC926125,,,,unmatched,6086,4217,341,CA:2290;TX:605;FL:341;MA:268;TN:243;PA:156;GA:120;NC:72,high
