company_nmls_id,legal_name,source_families,source_record_keys
1189057,"NOWLAND MORTGAGE, LLC",monthly_mbr|nmls_prr,FL|MONTHLY|MBR|MBR4316|FL|NMLS|MBR|MBR4316
1190352,MECKLENBURG MORTGAGE INC,monthly_mbr,FL|MONTHLY|MBR|MBR5352
1190717,MERU LENDING LLC,monthly_mbr|nmls_prr,FL|MONTHLY|MBR|MBR4117|FL|NMLS|MBR|MBR4117
1190729,UNITED CAPITAL PARTNERS LLC,monthly_mbr|nmls_prr,FL|MONTHLY|MBR|MBR1577|FL|MONTHLY|MBR|MBR3872|FL|NMLS|MBR|MBR3872
1190997,PRO-VISION TEAM FUNDING INC.,monthly_mbr|nmls_prr,FL|MONTHLY|MBR|MBR1571|FL|NMLS|MBR|MBR1571
1191010,"BEST LOAN CHOICE, INC",monthly_mbr|nmls_prr,FL|MONTHLY|MBR|MBR2589|FL|NMLS|MBR|MBR2589
119113,KORA L.L.C.,monthly_mbr|nmls_prr,FL|MONTHLY|MBR|MBR5371|FL|NMLS|MBR|MBR5371
1191131,"GRAND OAKS FUNDING, L.L.C.",monthly_mbr,FL|MONTHLY|MBR|MBR2209
1192002,GLOBAL MORTGAGE MARKETPLACE CORP,monthly_mbr,FL|MONTHLY|MBR|MBR1578
1192051,"FRONTLINE CAPITAL MORTGAGE, LLC",monthly_mbr,FL|MONTHLY|MBR|MBR2750
119224,"BLUE CHIP LENDING SERVICES, INC.",monthly_mld|nmls_prr,FL|MONTHLY|MLD|MLD2|FL|NMLS|MLD|MLD2
1192844,THE NEWFINITY GROUP INC.,monthly_mbr|monthly_mld,FL|MONTHLY|MLD|MLD1248|FL|MONTHLY|MBR|MBR1602|FL|MONTHLY|MBR|MBR3107
