lei,institution_name_hmda,nmls_id,our_lender_slug,legal_name,match_confidence,match_method,wisconsin_originations,florida_originations,total_originations,priority_match,notes
5493001WHVQBGRSWEU75,"HOMEBRIDGE FINANCIAL SERVICES, INC.",6521,homebridge-financial,"Homebridge Financial Services, Inc.",high,reuse_prior_state_curated_lei+curated_public_nmls+directory_profile,146,2433,146,medium,reuse_prior_state_curated_lei map for WI activity (146 WI originations); slug=homebridge-financial.
549300XQVJ1XBNFA5536,21ST MORTGAGE CORPORATION,2280,21st-mortgage,21st Mortgage Corporation,medium,reuse_prior_state_curated_lei+curated_public_nmls+directory_profile,146,2098,146,medium,reuse_prior_state_curated_lei map for WI activity (146 WI originations); slug=21st-mortgage.
549300370QILXLFUWD20,"ZILLOW HOME LOANS, LLC",1027871,zillow-home-loans,"Zillow Home Loans, LLC",high,reuse_prior_state_curated_lei+reuse_fl_tx_ga_curated_lei+ga_curated_gleif+public_nmls,133,0,133,medium,reuse_prior_state_curated_lei map for WI activity (133 WI originations); slug=zillow-home-loans.
5493008NWHQT1R22C024,"AMERICAN FINANCIAL NETWORK, INC.",237341,american-financial-network,"American Financial Network, Inc.",high,reuse_prior_state_curated_lei+ca_curated+ca_curated_gleif+public_nmls,132,0,132,medium,reuse_prior_state_curated_lei map for WI activity (132 WI originations); slug=american-financial-network.
54930052M48FOD3CWA54,"PRIMARY RESIDENTIAL MORTGAGE, INC.",3094,primary-residential-mortgage,"Primary Residential Mortgage, Inc.",high,reuse_prior_state_curated_lei+reuse_prior_state_curated_lei+reuse_prior_state_curated_lei+ne_curated+ne_curated_gleif+public_nmls,132,0,132,medium,reuse_prior_state_curated_lei map for WI activity (132 WI originations); slug=primary-residential-mortgage.
549300NL3JN3ABDPH257,AFFINITY PLUS,,affinity-plus-federal-credit-union,Affinity Plus Federal Credit Union,high,wi_mn_curated+wi_mn_deepen_gleif+lei_identity,126,0,126,medium,wi_mn_curated map for WI activity (126 WI originations); slug=affinity-plus-federal-credit-union.
549300XWUSRVVOHPRY47,Academy Mortgage Corporation,3113,academy-mortgage,Academy Mortgage Corporation,high,wi_mn_curated+wi_mn_gleif+public_nmls,125,0,125,medium,wi_mn_curated map for WI activity (125 WI originations); slug=academy-mortgage.
549300C4J510S9L1RF98,"Alerus Financial, National Association",,alerus-financial,"Alerus Financial, National Association",high,wi_mn_curated+wi_mn_deepen_gleif+lei_identity,119,0,119,medium,wi_mn_curated map for WI activity (119 WI originations); slug=alerus-financial.
SS1TRMSN6BRNMOREEV51,"Flagstar Bank, National Association",399797,flagstar-bank,"Flagstar Bank, National Association",high,reuse_prior_state_curated_lei+curated_lei_public_nmls,104,737,104,medium,reuse_prior_state_curated_lei map for WI activity (104 WI originations); slug=flagstar-bank.
254900DTLHVWQ7NP7R34,"CMG Mortgage, Inc.",2458338,cmg-home-loans-dennis-vo,CMG Home Loans (Dennis Vo Team),high,reuse_prior_state_curated_lei+curated_lei+directory_name,89,4627,89,medium,reuse_prior_state_curated_lei map for WI activity (89 WI originations); slug=cmg-home-loans-dennis-vo.
