year,state,lei,institution_name,total_applications,total_originations,top_counties_served,orig_conventional,orig_fha,orig_va,orig_usda_other,orig_other_loan_type,orig_conventional_pct,orig_fha_pct,orig_va_pct,priority_market
2025,MO,254900NAWIBILTM7ZJ36,,267,204,29169:66; 29125:33; 29073:14; 29151:13; 29131:12,204,0,0,0,0,100.0,0.0,0.0,national
2025,MO,549300BX448ALT10FI43,The Federal Savings Bank,580,204,29189:25; 29095:23; 29183:13; 29019:11; 29169:10,27,17,160,0,0,13.24,8.33,78.43,national
2025,MO,549300SK2GVCQXPD4S58,"SUN WEST MORTGAGE COMPANY, INC.",295,204,29095:46; 29183:27; 29047:23; 29189:14; 29099:13,98,70,30,6,0,48.04,34.31,14.71,national
2025,MO,549300C61LNGA8J8EF85,,286,202,29095:117; 29047:31; 29165:21; 29037:15; 29029:5,202,0,0,0,0,100.0,0.0,0.0,national
2025,MO,5493000D7DINI9PZN749,,291,197,29189:66; 29183:56; 29510:24; 29099:13; 29187:7,186,4,7,0,0,94.42,2.03,3.55,national
2025,MO,549300HN58ONH5KNJJ12,,249,197,29127:91; 29173:23; 29111:18; 29189:13; 29137:11,109,45,8,35,0,55.33,22.84,4.06,national
2025,MO,549300B4IYL7TZT8FA34,,268,196,29077:46; 29095:31; 29071:20; 29189:10; 29037:9,109,66,11,10,0,55.61,33.67,5.61,national
2025,MO,549300K4ZLGS7SRDTL86,Equity Prime Mortgage LLC,432,194,29095:27; 29077:23; 29189:15; 29099:10; 29183:7,6,119,42,27,0,3.09,61.34,21.65,national
2025,MO,2549005PPHHZWJNR6L41,,226,192,29019:50; 29089:46; 29195:31; 29027:17; 29175:13,191,0,0,1,0,99.48,0.0,0.0,national
2025,MO,549300RN01LBYR8ZVX74,"LOWER, LLC",396,192,29189:32; 29077:24; 29095:18; 29510:13; 29047:12,105,50,33,4,0,54.69,26.04,17.19,national
2025,MO,549300M1N0YC51QQGT24,,254,191,29099:69; 29187:66; 29093:21; 29186:9; 29221:7,191,0,0,0,0,100.0,0.0,0.0,national
2025,MO,254900KRDEAJ7MYWD034,,206,187,29186:73; 29099:60; 29189:15; 29187:10; 29510:7,187,0,0,0,0,100.0,0.0,0.0,national
2025,MO,254900RZAKWEVNKBVY93,,237,187,29115:58; 29175:36; 29041:30; 29121:15; 29137:12,187,0,0,0,0,100.0,0.0,0.0,national
2025,MO,5493001WHVQBGRSWEU75,"HOMEBRIDGE FINANCIAL SERVICES, INC.",268,187,29095:38; 29189:34; 29183:15; 29077:12; 29047:9,143,16,28,0,0,76.47,8.56,14.97,national
2025,MO,549300XY701IELCE5Q08,BETTER MORTGAGE CORPORATION,617,187,29189:42; 29095:25; 29183:13; 29510:12; 29047:8,169,17,1,0,0,90.37,9.09,0.53,national
2025,MO,5493008WWKO0RD22RN65,,227,185,29071:131; 29189:11; 29219:6; 29099:5; 29510:4,185,0,0,0,0,100.0,0.0,0.0,national
2025,MO,254900FI70PE7HWAVD04,,200,183,29101:130; 29095:24; 29037:6; 29047:6; 29107:4,183,0,0,0,0,100.0,0.0,0.0,national
2025,MO,5493001GDRY0EL7VG372,"ARK-LA-TEX FINANCIAL SERVICES, LLC.",216,182,29095:65; 29047:28; 29189:11; 29183:9; 29165:8,125,33,22,2,0,68.68,18.13,12.09,national
2025,MO,549300UG7QXKM7KGV847,,285,182,29189:31; 29095:26; 29077:11; 29099:10; 29083:5,162,14,6,0,0,89.01,7.69,3.3,national
2025,MO,254900BX43CTU32Z6G15,,197,181,29189:99; 29510:35; 29183:24; 29099:13; 29071:2,181,0,0,0,0,100.0,0.0,0.0,national
2025,MO,549300QKL5FUBZ8LSF50,,203,176,29029:83; 29031:22; 29131:9; 29189:7; 29141:7,136,26,14,0,0,77.27,14.77,7.95,national
2025,MO,5493008CPTDVOS570626,"Primary Residential Mortgage, Inc.",308,175,29189:52; 29183:30; 29095:21; 29047:10; 29510:8,175,0,0,0,0,100.0,0.0,0.0,national
2025,MO,549300PZ44DNQDPOV865,,215,175,29097:101; 29145:32; 29095:16; 29077:6; 29109:3,156,14,4,1,0,89.14,8.0,2.29,national
2025,MO,549300UXCRU4C6HBN492,,217,174,29101:9; 29107:8; 29013:7; 29083:7; 29037:6,174,0,0,0,0,100.0,0.0,0.0,national
2025,MO,5493001Q8FNQ5TSRE594,,174,171,29077:60; 29209:47; 29213:31; 29043:18; 29109:6,169,2,0,0,0,98.83,1.17,0.0,national
2025,MO,549300WKFR15017V9850,,243,171,29095:57; 29047:56; 29165:26; 29037:7; 29021:7,99,56,12,4,0,57.89,32.75,7.02,national
2025,MO,549300MY7KEVWMI4DF64,,166,166,29189:67; 29183:54; 29099:17; 29510:6; 29113:6,131,31,3,1,0,78.92,18.67,1.81,national
2025,MO,PAOOWF3GUFM46FBSP561,,417,163,29189:27; 29095:22; 29047:14; 29183:13; 29510:10,86,48,29,0,0,52.76,29.45,17.79,national
2025,MO,549300M4MFIHXLR7AI37,,228,162,29001:59; 29053:37; 29175:10; 29089:7; 29137:7,156,0,0,6,0,96.3,0.0,0.0,national
2025,MO,549300PQLK8E48ILXV41,,279,161,29189:37; 29095:29; 29183:20; 29047:12; 29099:6,157,4,0,0,0,97.52,2.48,0.0,national
2025,MO,5493006GUYDBDZG4ZR64,,234,159,29077:100; 29043:28; 29225:9; 29209:8; 29059:2,159,0,0,0,0,100.0,0.0,0.0,national
2025,MO,549300XOTES5TCS8T794,,245,159,29019:25; 29051:22; 29189:22; 29183:21; 29510:14,152,2,3,2,0,95.6,1.26,1.89,national
2025,MO,54930044G6TGPFFTFM49,,212,154,29071:107; 29510:9; 29189:8; 29219:6; 29073:6,147,0,0,7,0,95.45,0.0,0.0,national
2025,MO,Q708HHR4LD2B7XIZNO92,First Federal Bank,256,154,29095:41; 29047:24; 29189:12; 29183:10; 29165:8,103,20,31,0,0,66.88,12.99,20.13,national
2025,MO,549300KJ8PAJ7E52HG32,Plains Commerce Bank,253,151,29095:36; 29189:23; 29077:19; 29165:13; 29047:11,104,27,19,1,0,68.87,17.88,12.58,national
2025,MO,549300DFV63SJPNIII97,,165,150,29127:61; 29111:17; 29007:14; 29173:9; 29019:6,150,0,0,0,0,100.0,0.0,0.0,national
2025,MO,549300XAJENHWRM32Z86,,207,150,29189:46; 29183:37; 29510:16; 29113:7; 29099:7,147,2,1,0,0,98.0,1.33,0.67,national
2025,MO,FU7RSW4CQQY98A2O7J66,"BOKF, National Association",252,147,29095:76; 29047:22; 29037:7; 29189:6; 29077:5,142,3,2,0,0,96.6,2.04,1.36,national
2025,MO,254900605M87QWWATV97,,191,142,29113:60; 29163:31; 29183:26; 29219:7; 29007:3,142,0,0,0,0,100.0,0.0,0.0,national
2025,MO,2549004FXPNKCLIN8250,,234,140,29095:26; 29031:26; 29201:13; 29047:11; 29037:8,69,45,9,17,0,49.29,32.14,6.43,national
2025,MO,54930058F1PNDGW35714,,212,139,29049:37; 29021:18; 29025:18; 29063:15; 29061:12,139,0,0,0,0,100.0,0.0,0.0,national
2025,MO,549300FX7K8PTEQUU487,PENTAGON FEDERAL CREDIT UNION,268,139,29189:24; 29095:15; 29077:9; 29183:8; 29101:7,104,6,29,0,0,74.82,4.32,20.86,national
2025,MO,549300TN0HZ349E7ZH34,,178,139,29189:55; 29183:32; 29099:24; 29510:11; 29113:7,139,0,0,0,0,100.0,0.0,0.0,national
2025,MO,254900H0KR1EP2IS0Y73,,165,138,29027:51; 29019:47; 29007:11; 29175:4; 29089:4,138,0,0,0,0,100.0,0.0,0.0,national
2025,MO,549300O5WDIJU8S7OI05,,176,137,29047:48; 29095:33; 29165:25; 29021:9; 29037:8,90,26,20,1,0,65.69,18.98,14.6,national
2025,MO,549300CB67L6KPJLHE19,"TRIAD FINANCIAL SERVICES, INC.",1237,136,29099:23; 29113:11; 29047:8; 29183:7; 29031:6,136,0,0,0,0,100.0,0.0,0.0,national
2025,MO,549300R7HGHP2I754087,TOWNE MORTGAGE COMPANY,190,134,29189:27; 29183:13; 29145:9; 29095:8; 29510:7,47,70,8,9,0,35.07,52.24,5.97,national
2025,MO,549300YMEOE50UQ6NM87,,141,132,29189:81; 29510:18; 29183:17; 29099:6; 29029:5,132,0,0,0,0,100.0,0.0,0.0,national
2025,MO,5493002Y5XYV7DV1ZV88,"GOLD STAR MORTGAGE FINANCIAL GROUP, CORPORATION",213,131,29169:39; 29161:26; 29095:11; 29105:7; 29029:6,41,35,53,2,0,31.3,26.72,40.46,national
2025,MO,54930042JJO3F1BJD749,,174,130,29161:64; 29077:20; 29065:7; 29125:5; 29043:5,130,0,0,0,0,100.0,0.0,0.0,national
2025,MO,549300MZ8VZJOVC63092,"KIND LENDING, LLC",206,130,29095:30; 29051:14; 29047:12; 29189:10; 29183:5,67,34,19,10,0,51.54,26.15,14.62,national
