lei,institution_name,nmls_id,our_lender_slug,match_status,total_applications,total_originations,ks_originations,states_with_originations,priority_match
549300AFD1IR7H2CES48,,,,unmatched,406,333,10,MO:320;KS:10;NE:1;MT:1;IA:1,low
549300KM40FP4MSQU941,,,,unmatched,22885,14331,9,WA:13589;AZ:169;ID:159;CA:148;OR:136;SC:65;MO:23;IL:18;PA:15;KS:9,high
549300GG5XNEIGHQTG04,,,,unmatched,2609,1836,8,NE:1606;IA:200;KS:8;SD:7;FL:3;MN:2;NV:2;MO:2;OK:1;TX:1,medium
549300YKBMBBIIMQJS94,,,,unmatched,1775,1486,7,MO:1111;AR:306;IL:35;KS:7;TN:6;TX:4;NY:4;OK:3;OH:3;FL:3,medium
549300MNZECUR067HB12,,,,unmatched,4837,3819,7,OK:3786;TX:8;KS:7;MO:6;CO:3;CA:3;AR:2;ME:1;NC:1;NM:1,medium
5493007OXXFLNNHTW637,,,,unmatched,431,379,7,MO:330;KS:7;TX:7;OK:5;AZ:4;IA:4;AR:3;FL:3;CA:2;AK:2,low
549300X7KG2H84UCP685,,,,unmatched,306,254,7,CO:103;WA:35;UT:32;NE:31;MO:14;KS:7;IL:7;ID:7;WY:6;IA:3,low
54930040GLSEV5H11Q12,,,,unmatched,437,312,7,NE:195;CO:80;AZ:15;KS:7;IL:2;SD:2;UT:2;NV:1;TN:1;CA:1,low
549300XKEC7P1D7OKJ16,,,,unmatched,2041,1670,6,OK:1509;TX:135;KS:6;FL:4;MO:4;CO:2;AR:2;TN:2;CA:1;NC:1,medium
549300COZ9YQTC4J1378,,,,unmatched,182,127,6,MO:109;OK:7;KS:6;AR:4;TX:1,low
549300KW3HYVC06WS898,,,,unmatched,545,402,5,MO:276;FL:26;IL:23;NC:10;SC:8;OR:7;KS:5;CA:4;VA:3;NY:3,medium
549300R0DP2GXAIMGB41,,,,unmatched,2171,1529,5,CO:1334;AZ:98;NM:34;NE:15;WY:9;TX:8;KS:5;MO:3;MN:2;MI:2,medium
549300JE6M4A1G4LPS75,,,,unmatched,1167,833,5,MO:798;AR:12;KS:5;IL:3;AZ:2;FL:2;SC:2;PA:1;NE:1;IN:1,medium
254900B9B6TYYGLOXT47,,,,unmatched,1115,824,5,MN:743;WI:29;IL:19;MO:10;FL:6;KS:5;AZ:4;NE:3;SD:3;IA:2,medium
549300Z3IK4IHLP1R468,,,,unmatched,113,91,5,MO:86;KS:5,low
549300DMHEHNYZ2OLB41,,,,unmatched,9837,6705,4,OK:3985;TX:2615;FL:12;AR:10;CO:9;CA:6;NM:6;UT:5;MS:4;KS:4,high
