lei,institution_name,nmls_id,our_lender_slug,match_status,total_applications,total_originations,fl_originations,states_with_originations,priority_match
549300E4YLQ3BVQ4GW30,,,,unmatched,649,401,27,NY:182;CA:134;NJ:51;FL:27;MA:3;TX:2;GA:1;TN:1,high
549300C4YZ9QY31U5912,,,,unmatched,388,346,27,GA:319;FL:27,high
5493002JA8HUVL2CRT33,,,,unmatched,431,289,27,NJ:87;PA:76;NC:56;FL:27;NY:19;TX:18;SC:3;GA:1,high
254900AD895KKZTSFT42,,,,unmatched,732,560,26,GA:406;SC:63;NC:58;FL:26;TN:6;CA:1,high
549300VVH8HHFMWL8536,,,,unmatched,1662,1122,25,TX:529;CA:513;FL:25;TN:12;SC:9;NC:9;GA:9;PA:8,high
549300IJO7NO6VDZPD35,,,,unmatched,995,719,25,TX:660;FL:25;PA:19;NC:6;GA:3;SC:2;TN:2;DC:2,high
VNOO6EITDJ2YUEBMSZ83,,,,unmatched,413,200,25,TX:102;CA:52;FL:25;TN:5;NC:5;SC:4;MA:3;PA:2,high
549300VNBQD8FDHF7563,,,,unmatched,5103,3582,24,TN:3148;NC:197;GA:154;SC:59;FL:24,high
549300BHPLBG0CXKTL06,,,,unmatched,2160,1466,24,PA:1409;FL:24;NC:17;CA:4;NJ:4;GA:3;SC:2;MA:1,high
HIDXEG9BLUJZKBGUT764,,,,unmatched,463,331,24,DC:220;FL:24;CA:20;NC:12;MA:11;PA:10;TX:8;NJ:8,high
549300EL87GZMCVX0Q34,,,,unmatched,887,646,23,NJ:563;NY:28;FL:23;PA:16;SC:5;TX:4;MA:3;NC:3,high
549300WRDGBHKR1BXL98,,,,unmatched,304,236,23,MA:146;FL:23;TX:13;NY:10;GA:10;TN:10;CA:10;NC:7,high
549300EFCZM6KD6B8K69,,,,unmatched,1491,1055,22,NJ:593;PA:165;TX:120;TN:32;NC:30;NY:30;FL:22;GA:20,high
5493006RIR31ORKYB608,,,,unmatched,889,617,22,CA:395;TX:133;TN:28;GA:27;FL:22;NC:3;SC:2;MA:2,high
549300ZTT08EKQRVTR15,,,,unmatched,746,502,22,NC:317;DC:96;FL:22;SC:20;PA:18;GA:11;TN:11;TX:3,high
254900I68BOSEM149Q58,,,,unmatched,756,534,21,TX:354;NC:85;CA:49;FL:21;GA:10;SC:5;NJ:5;DC:2,high
2549005Q4HZ55QX7YC64,,,,unmatched,646,496,21,CA:249;TX:151;FL:21;NC:18;MA:14;DC:10;NJ:8;PA:7,high
549300SY0ZRUCS4CSY07,,,,unmatched,516,336,21,NY:86;NJ:63;CA:40;PA:33;DC:30;GA:25;FL:21;NC:16,high
5493006VCMZ998IGOO33,,,,unmatched,2297,1769,20,NJ:1223;SC:362;PA:115;NC:28;FL:20;GA:14;MA:3;TX:3,high
549300Y7G2MW6V1OR474,,,,unmatched,975,737,20,PA:594;NC:82;FL:20;TX:15;TN:13;SC:8;GA:4;MA:1,high
549300PKEQ3Q9S0IXW76,,,,unmatched,1074,621,20,NC:475;PA:58;SC:25;FL:20;CA:17;TN:10;GA:6;MA:4,high
549300U4FBW37LFHW771,,,,unmatched,691,464,20,NY:258;NJ:165;FL:20;PA:6;CA:5;SC:4;TX:2;NC:2,high
549300S5FVOSK5DQJN30,,,,unmatched,423,310,20,CA:224;NC:33;TX:24;FL:20;TN:5;GA:3;NJ:1,high
549300ZS1TR1B4LHX377,,,,unmatched,1244,862,19,CA:774;TX:45;TN:20;FL:19;GA:2;SC:1;PA:1,high
254900U1OBL1MC6M6518,,,,unmatched,616,516,19,PA:364;NJ:82;TX:19;FL:19;NC:10;SC:6;TN:5;MA:4,high
2549001NJY765EZWDI06,,,,unmatched,683,432,19,NY:325;NJ:32;PA:20;MA:19;FL:19;TX:7;SC:5;NC:3,high
549300PXIFIEPL7D7R86,,,,unmatched,430,290,19,TN:123;NJ:66;TX:40;FL:19;GA:13;NC:8;SC:8;NY:7,high
5493008SP1FN4D81IS17,,,,unmatched,277,222,19,TX:79;CA:49;NC:30;FL:19;NJ:10;NY:8;TN:8;GA:6,high
549300LG7IO23TN5LR98,,,,unmatched,237,217,19,GA:198;FL:19,high
549300MSU5WVAU4ZN645,,,,unmatched,4704,3327,18,PA:3102;SC:71;GA:59;NC:50;FL:18;TN:13;MA:8;NJ:3,high
549300IPUHFA5O769M51,,,,unmatched,924,712,18,CA:437;DC:125;TX:87;FL:18;TN:10;NC:8;GA:7;PA:6,high
254900K39SBWA2QOUF69,,,,unmatched,398,308,18,TX:276;FL:18;SC:8;TN:3;GA:2;NC:1,high
549300IKS3MMB5YK6T18,,,,unmatched,1961,1386,17,CA:1195;NY:116;FL:17;NJ:12;GA:10;TX:9;NC:9;TN:8,high
254900132A3VX6LLZU43,,,,unmatched,1607,1154,17,GA:1105;FL:17;SC:15;NC:10;TN:7,high
54930044OSTKOJMHF287,,,,unmatched,396,284,17,DC:145;PA:37;NC:31;FL:17;SC:13;NJ:9;NY:9;TX:6,high
254900JH11ROOV921P96,,,,unmatched,1886,1335,16,CA:1259;TX:42;FL:16;PA:9;TN:5;GA:2;SC:1;MA:1,high
